tweet_id,favorite_count,retweet_count,created_at,source,retweeted_status,url
770093767776997377,0,3335,Mon Aug 29 03:00:36 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
770069151037685760,8132,2534,Mon Aug 29 01:22:47 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/mADHGenzFS
769940425801170949,33757,10614,Sun Aug 28 16:51:16 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/guDkLrX8zV
769695466921623552,6861,1828,Sun Aug 28 00:37:54 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/vhrkz0dK4v
769335591808995329,0,8435,Sat Aug 27 00:47:53 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
769212283578875904,5780,1881,Fri Aug 26 16:37:54 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/OCYLz3fjVE
768970937022709760,15463,7192,Fri Aug 26 00:38:52 +0000 2016,Twitter Web Client,Original tweet,https://t.co/UlB2mzw3Xs
768909767477751808,0,2974,Thu Aug 25 20:35:48 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
768855141948723200,4495,979,Thu Aug 25 16:58:45 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/1BxxcdVNJ8
768609597686943744,4412,1333,Thu Aug 25 00:43:02 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/dZPMLresEr
768596291618299904,5384,1403,Wed Aug 24 23:50:10 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/J2AJdyxglH
768554158521745409,0,6393,Wed Aug 24 21:02:45 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
768473857036525572,14616,3768,Wed Aug 24 15:43:39 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/goy9053wC7
768193404517830656,11689,3891,Tue Aug 23 21:09:14 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/WmczvjCWJq
767884188863397888,5091,1541,Tue Aug 23 00:40:31 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/Qai481H6RA
767754930266464257,17193,5909,Mon Aug 22 16:06:54 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/Nb68IsVb9O
767500508068192258,8027,2559,Sun Aug 21 23:15:55 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/Z2g2YWPzX2
767191397493538821,13160,4189,Sun Aug 21 02:47:37 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/QOKZdus9TT
767122157629476866,10855,3136,Sat Aug 20 22:12:29 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/IEARC2sRzC
766864461642756096,0,6217,Sat Aug 20 05:08:29 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
766793450729734144,5446,1491,Sat Aug 20 00:26:19 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/exrRjjJqeO
766714921925144576,2789,423,Fri Aug 19 19:14:16 +0000 2016,Twitter for iPhone,Original tweet,y
766693177336135680,4320,866,Fri Aug 19 17:47:52 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/cTlHjEUNK8
766423258543644672,6450,1751,Thu Aug 18 23:55:18 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/Tytt15VquG
766313316352462849,7265,2068,Thu Aug 18 16:38:26 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/xuxZoObmF0
766078092750233600,0,2848,Thu Aug 18 01:03:45 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
766069199026450432,4591,952,Thu Aug 18 00:28:24 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/Z69mShifuk
766008592277377025,4002,540,Wed Aug 17 20:27:34 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/jaivZ1dcUL
765719909049503744,7760,2366,Wed Aug 17 01:20:27 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/soxdNqZDZ2
765669560888528897,5561,1335,Tue Aug 16 22:00:23 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/t6RvnVEdRR
765395769549590528,28249,3721,Tue Aug 16 03:52:26 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/ep1NkYoiwB
765371061932261376,7596,2364,Tue Aug 16 02:14:15 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/w2qDmoTIZ5
765222098633691136,12449,3707,Mon Aug 15 16:22:20 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/eSvz4EapHH
764857477905154048,6883,1943,Sun Aug 14 16:13:27 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/cBIFBsCRz6
764259802650378240,6473,1664,Sat Aug 13 00:38:30 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/Q1v9BZylvZ
763956972077010945,792,59,Fri Aug 12 04:35:10 +0000 2016,Twitter for iPhone,Original tweet,0
763837565564780549,13524,4574,Thu Aug 11 20:40:41 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/gx3xF5mZbo
763183847194451968,5784,1617,Wed Aug 10 01:23:03 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/EDMcwt86fU
763167063695355904,0,3310,Wed Aug 10 00:16:21 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
763103485927849985,7883,2493,Tue Aug 09 20:03:43 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/VIXT3D26VM
762699858130116608,13030,3975,Mon Aug 08 17:19:51 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/2lBg3ZgivD
762471784394268675,12095,7125,Mon Aug 08 02:13:34 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/pA4MDKwRci
762464539388485633,11067,4622,Mon Aug 08 01:44:46 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/zGSj1oUgxx
762316489655476224,5160,1234,Sun Aug 07 15:56:28 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/sAHmwRtfSq
762035686371364864,34260,17103,Sat Aug 06 21:20:40 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/3td8P3o0mB
761976711479193600,5792,2212,Sat Aug 06 17:26:19 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/WTZ484EntP
761750502866649088,0,4323,Sat Aug 06 02:27:27 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
